Kat_rumah,lampu,lampu_H
Milik Sendiri,98.99,86.89
Kontrak/Sewa,92.37,87.56
Bebas Sewa,97.1,85.47
Dinas,99.47,93.13
Lainnya,97.41,82.76
Total,98.36,86.93
